News Title,News Description,Author Name,Date,Website Name,url
Influence of the non-equal aligned nozzles for fuel injection inside the supersonic combustion chamber,"The importance of fuel mixing for the progress of the scramjet engine is indisputable. The present article shows the importance of the non-equal multi-injector system for effective fuel distribution and flame holding inside the combustion segment of a scramjet engine. The supersonic air and fuel jet flow in the non-equal nozzle arrangement is simulated via computational fluid dynamic technique. Two injector types of circular and rectangular nozzle have been analyzed to attain flow characteristics of hydrogen jets at supersonic cross flow. Mach contour is also analyzed for these jet arrangements to show the interface of the jet in the non-equal jet arrangement. Besides, addition of internal air jet is also simulated and evaluated in this research. Our investigation shows that the diffusion height of the fuel jet is higher when a rectangular non-equal nozzle is applied. The circular nozzle is more active in the spreading of the fuel in the combustor and the use of an internal air jet effectively increases fuel in a combustor of the scramjet.","['Zhongmian Fan', 'Lingxiao Wang', 'Fei Xu', 'Xiuli Zhang', 'Baoling Xie', 'Yushi Wen', 'He Li', 'Saman Aminian']",04-Jun-24,Nature,https://www.nature.com/articles/s41598-024-63544-4
"Shaping the ethical, sustainable and policy-driven future of space exploration","Current interest in furthering space exploration is undoubtedly relevant to materials science research. However, as we stand on the brink of a revolution, it is imperative to establish robust frameworks to foster sustainable growth. In this Viewpoint, experts in space policy, environmental stewardship and ethics reflect on issues from space debris management to international collaboration and exploitation of extraterrestrial resources.","['Martin Elvis', 'Moriba Jah', 'Erika Nesvold', 'Kazuto Suzuki']",09-Feb-24,Nature,https://www.nature.com/articles/s41578-023-00636-z
Prediction of oxidation resistance of Ti-V-Cr burn resistant titanium alloy based on machine learning,"A machine learning model was developed to predict the oxidation resistance of Ti-V-Cr burn-resistant titanium alloy, and the natural logarithm of the parabolic oxidation rate constant (lnkp) was utilized as the model output. The results show that the two algorithms based on multiple learners, gradient boosting decision tree (GBDT) and eXtreme Gradient Boosting (XGBoost), show better performance. The coefficient of determination R2 of the models are 0.98 and the maximum error is 6.57 and 6.40%, respectively. The importance and interpretability of the input features were analyzed. The trend of the model analysis results was the same as that of the experimental conclusions, which further revealed the mechanism of the influence of element content and temperature changes on the oxidation resistance of Ti-V-Cr alloys and verified the effectiveness of the model. This study is of great significance for the discovery, prediction, and quantification of new high-temperature oxidation-resistant Ti-V-Cr alloys.","['Yuanzhi Sun', 'Guangbao Mi', 'Peijie Li', 'Liangju He']",14-Jan-25,Nature,https://www.nature.com/articles/s41529-025-00553-2
A spherical vector-based adaptive evolutionary particle swarm optimization for UAV path planning under threat conditions,"Unmanned aerial vehicle (UAV) path planning is a constrained multi-objective optimization problem. With the increasing scale of UAV applications, finding an efficient and safe path in complex real-world environments is crucial. However, existing particle swarm optimization (PSO) algorithms struggle with these problems as they fail to consider UAV dynamics, resulting in many infeasible solutions and poor convergence to optimal solutions. To address these challenges, we propose a spherical vector-based adaptive evolutionary particle swarm optimization (SAEPSO) algorithm. This algorithm, based on spherical vectors, directly incorporates UAV dynamic constraints and introduces improved tent map and reverse learning to enhance the diversity and distribution of initial solutions. Additionally, dynamic nonlinear and adaptive factors are integrated to balance exploration and exploitation capabilities. To avoid local optima in highly complex environments, we propose an adaptive acceleration strategy for poor particles, and an evolutionary programming strategy is incorporated to further improve the optimization capability. Finally, we conducted comparative studies and in six benchmark scenarios with varying threat levels, and the results demonstrated that the proposed algorithm outperforms others in the initial solution effectiveness, the final solution accuracy, convergence stability, and scalability.","['Yanfei Liu', 'Hao Zhang', 'Hao Zheng', 'Qi Li', 'Qi Tian']",16-Jan-25,Nature,https://www.nature.com/articles/s41598-025-85912-4
Identification and correction of phase delay errors for hemispherical resonator gyroscopes,"The phase-delay error of the circuit system is the primary source of the output error observed in the hemispherical resonator gyroscope (HRG). Additionally, the temperature-dependent nature of the phase-delay error results in a deterioration of the initial calibration parameters, which, in turn, significantly impairs the performance of the gyroscope in its intended application. This paper proposes a self-calibration method to effectively suppress the impact of phase-delay error on the application performance of gyroscopes. Firstly, based on the analysis of the influence of phase-delay error on the performance of the whole-angle mode HRG, a sinusoidal interference signal with a small amplitude is introduced into the quadrature control loop of the gyroscope. Then, the angular rate signal is demodulated and calculated to obtain the phase-delay error of the system, which is employed as the compensation value of the reference phase of the PLL to offset the phase-delay error of the circuit system in real-time. The experimental results demonstrate that after the phase-delay error is self-calibrated, the zero-bias output error of the gyroscope is reduced by 5 times, the bias instability is improved by 37.7%, and the self-calibration method of the phase-delay error presented is more strongly robust to temperature changes.","['Youhuan Ning', 'Changhong Wang', 'Boqi Xi', 'Zhen Tian', 'Boda Zhang']",15-Jan-25,Nature,https://www.nature.com/articles/s41598-025-86288-1
Towards extending the aircraft flight envelope by mitigating transonic airfoil buffet,"In the age of globalization, commercial aviation plays a central role in maintaining our international connectivity by providing fast air transport services for passengers and freight. However, the upper limit of the aircraft flight envelope, i.e., its operational limit in the high-speed (transonic) regime, is usually fixed by the occurrence of transonic aeroelastic effects. These harmful structural vibrations are associated with an aerodynamic instability called transonic buffet. It refers to shock wave oscillations occurring on the aircraft wings, which induce unsteady aerodynamic loads acting on the wing structure. Since the structural response can cause severe structural damage endangering flight safety, the aviation industry is highly interested in suppressing transonic buffet to extend the flight envelope to higher aircraft speeds. In this contribution, we demonstrate experimentally that the application of porous trailing edges substantially attenuates the buffet phenomenon. Since porous trailing edges have the additional benefit of reducing acoustic aircraft emissions, they could prospectively provide faster air transport with reduced noise emissions.","['Esther Lagemann', 'Steven L. Brunton', 'Wolfgang Schröder', 'Christian Lagemann']",12-Jun-24,Nature,https://www.nature.com/articles/s41467-024-49361-3
Ground validation of manipulator adaptive variable admittance control method for detumbling a space noncooperative satellite,"To achieve rapid and stable detumbling of a space noncooperative satellite, an adaptive variable admittance control method for the manipulator is proposed and verified through simulation study and the ground experiment. The control block diagram of the proposed method is presented, and the adaptive variable admittance compliant detumbling control model is established. The proposed controller includes the fixed admittance controller in manipulator task space, the adaptive pose compensator for the grasping point on docking ring, and the damping adaptive regulator based on manipulator joint angular velocity, and the stability is proven by the Lyapunov method. Subsequently, the advantage of proposed method is verified through simulation comparison with other compliant detumbling methods, demonstrating the ability to reduce the velocity and angular velocity of the space noncooperative satellite in a shorter time. Finally, the composition of the designed ground hardware-in-the-loop verification platform are demonstrated, and on this basis, verification principle is elaborated. The ground experiment process for detumbling a space noncooperative spinning satellite is formulated, and the time sequence for its five phases is planned. The experimental results show that during the relative detumbling process, the spin angular velocity of the simulated space noncooperative satellite gradually decreases to the desired value of − 0.089°/s, significantly outperforming the fixed admittance control method. At the end of this phase, absolute value of the angular velocity component deviation is only 0.019°/s. Ground test verifies the effectiveness of the proposed method and provides vital basis for its further application.","['Xinlin Bai', 'Xiwen Li', 'Zhen Zhao', 'Zhigang Xu']",14-Jan-25,Nature,https://www.nature.com/articles/s41598-025-86271-w
"Stiff, lightweight, and programmable architectured pyrolytic carbon lattices via modular assembling","Recent advances in additive manufacturing have enabled the creation of three-dimensional (3D) architectured pyrolytic carbon (PyC) structures with ultrahigh specific strength and energy absorption capabilities. However, their scalability is limited by reduced strength at larger sizes. Here we introduce a modular assembling approach to scale up PyC lattice structures while retaining strength. Three assembling mechanisms—adhesive, Lego-adhesive, and mechanical interlocking—are explored, demonstrating notably increased specific compressive strength and modulus as size increases, driven by energy release from assembly joint fractures. Practical application is demonstrated by using assembled PyC lattices as the core of an aerospace sandwich structure, significantly enhancing indentation resistance compared to conventional aramid paper honeycomb core. The method also enables versatile designs, including curved structures for space debris protection and bio-scaffold applications. This scalable approach offers a promising pathway for integrating PyC structures into large-scale engineering applications requiring superior mechanical properties and programmability in complicated shape design.","['Ali Naderi', 'Wenhua Lin', 'Amirreza Tarafdar', 'Teng Zhang', 'Yeqing Wang']",16-Jan-25,Nature,https://www.nature.com/articles/s43246-025-00739-w
Remote sensing image Super-resolution reconstruction by fusing multi-scale receptive fields and hybrid transformer,"To enhance high-frequency perceptual information and texture details in remote sensing images and address the challenges of super-resolution reconstruction algorithms during training, particularly the issue of missing details, this paper proposes an improved remote sensing image super-resolution reconstruction model. The generator network of the model employs multi-scale convolutional kernels to extract image features and utilizes a multi-head self-attention mechanism to dynamically fuse these features, significantly improving the ability to capture both fine details and global information in remote sensing images. Additionally, the model introduces a multi-stage Hybrid Transformer structure, which processes features at different resolutions progressively, from low resolution to high resolution, substantially enhancing reconstruction quality and detail recovery. The discriminator combines multi-scale convolution, global Transformer, and hierarchical feature discriminators, providing a comprehensive and refined evaluation of image quality. Finally, the model incorporates a Charbonnier loss function and total variation (TV) loss function, which significantly improve training stability and accelerate convergence. Experimental results demonstrate that the proposed method, compared to the SRGAN algorithm, achieves average improvements of approximately 3.61 dB in Peak Signal-to-Noise Ratio (PSNR), 0.070 (8.2%) in Structural Similarity Index (SSIM), and 0.030 (3.1%) in Feature Similarity Index (FSIM) across multiple datasets, showing significant performance gains.","['Denghui Liu', 'Lin Zhong', 'Haiyang Wu', 'Songyang Li', 'Yida Li']",16-Jan-25,Nature,https://www.nature.com/articles/s41598-025-86446-5
Easy-to-actuate multi-compatible truss structures with prescribed reconfiguration,"Multi-stable structures attract great interest because they possess special energy landscapes with domains of attraction around the stable states. Consequently, multi-stable structures have the potential to achieve prescribed reconfiguration with only a few lightweight actuators (such as shape-memory alloy springs), and do not need constant actuation to be locked at a stable state. However, most existing multi-stability designs are based on assembling bi-stable unit cells, which contain multitudes of distractive stable states, diminishing the feasibility of reconfiguration actuation. Another type is by introducing prestress together with kinematic symmetry or nonlinearity to achieve multi-stability, but the resultant structure often suffers the lack of stiffness. To help address these challenges, we firstly introduce the constraints that a truss structure is simultaneously compatible at multiple (more than two) prescribed states. Then, we solve for the design of multi-stable truss structures, named multi-compatible structures in this paper, where redundant stable states are limited. Secondly, we explore minimum energy paths connecting the designed stable states, and compute for a simple and inaccurate pulling actuation guiding the structure to transform along the computed paths. Finally, we fabricated four prototypes to demonstrate that prescribed reconfigurations with easy-actuation have been achieved and applied a quadra-stable structure to the design of a variable stiffness gripper. Altogether, our full-cycle design approach contains multi-stability design, stiffness design, minimum-energy-path finding, and pulling actuation design, which highlights the potential for designing morphing structures with lightweight actuation for practical applications.","['Lin Ai', 'Shukun Yin', 'Weixia He', 'Peidong Zhang', 'Yang Li']",07-Jun-24,Nature,https://www.nature.com/articles/s41467-024-49210-3
Examining influencing factors and their hierarchical relationships in flight crew resilient behavior through a hybrid ISM-DEMATEL approach,"The increasing complexity of aviation systems and the rise of unpredictable “Black Swan” events necessitate resilience-based safety management strategies. Flight Crew Resilient Behavior (FCRB), defined as the ability of flight crews to adapt effectively beyond standard operating procedures, is critical for ensuring operational safety. Despite its significance, systematic approaches to understanding and managing FCRB remain underdeveloped. This study builds on American Airlines’ pioneering work by extending the FCRB scope to the Chinese aviation sector, and identifies 22 key factors influencing FCRB across individual, cockpit, organizational, and social dimensions through a comprehensive literature review and expert interviews. A hierarchical model was developed using Interpretive Structural Modeling (ISM) to uncover the relationships and layered dependencies among these factors. Subsequently, the Decision-Making Trial and Evaluation Laboratory (DEMATEL) method was applied to analyze causal relationships and interaction strengths, pinpointing critical driving and dependent factors within the system. The integrated ISM-DEMATEL analysis revealed seven management pathways, offering actionable strategies to enhance FCRB through targeted interventions in knowledge development, safety culture, and responsibility. These findings provide a robust framework for airlines, aviation authorities, and manufacturers to manage FCRB proactively, address both anticipated and unforeseen challenges, and advance aviation safety.","['Peng He', 'Fei Lu', 'Ruishan Sun', 'Zhaoning Zhang']",10-Jan-25,Nature,https://www.nature.com/articles/s41598-025-85990-4
A Parametric study on the effects of winglet cant angle on wing aerodynamics and aeroacoustics,"The use of winglet devices is an efficient technique for enhancing aerodynamic performance. This study investigates the effects of winglet cant angles on both the aerodynamics and aeroacoustics of a commercial wing, comparing them to other significant parameters using a parametric analysis. A Full Factorial Design method is employed to generate a matrix of experiments, facilitating a detailed exploration of flow physics, with lift-to-drag ratio (L/D) and the integral of Acoustic Power Level (APL) as the primary representatives of aerodynamic and acoustic performance, respectively. The RANS formulation, along with the \(k{-}\epsilon\) Realizable model and the Broadband Noise Source (BNS) model, are utilized to accurately simulate subsonic flows numerically. The study begins by examining the pressure coefficient (\(C_p\)) and APL distributions at various cant angles near the wingtip and root areas. The matrix of experiments is then analyzed to identify the most influential parameters based on the main effects of inputs and their two-way interactions. The results demonstrate that variations in winglet cant angle significantly alter the distribution of \(C_p\) and APL along the span, particularly near the wingtip, and that cant angle strongly impacts overall performance, at times even outweighing atmospheric parameters such as pressure and temperature.","['Erfan Vaezi', 'S. Amirreza S. Madani', 'Amir Keshmiri']",09-Jan-25,Nature,https://www.nature.com/articles/s41598-024-84453-6
Identifying regions of importance in wall-bounded turbulence through explainable deep learning,"Despite its great scientific and technological importance, wall-bounded turbulence is an unresolved problem in classical physics that requires new perspectives to be tackled. One of the key strategies has been to study interactions among the energy-containing coherent structures in the flow. Such interactions are explored in this study using an explainable deep-learning method. The instantaneous velocity field obtained from a turbulent channel flow simulation is used to predict the velocity field in time through a U-net architecture. Based on the predicted flow, we assess the importance of each structure for this prediction using the game-theoretic algorithm of SHapley Additive exPlanations (SHAP). This work provides results in agreement with previous observations in the literature and extends them by revealing that the most important structures in the flow are not necessarily the ones with the highest contribution to the Reynolds shear stress. We also apply the method to an experimental database, where we can identify structures based on their importance score. This framework has the potential to shed light on numerous fundamental phenomena of wall-bounded turbulence, including novel strategies for flow control.","['Andrés Cremades', 'Sergio Hoyas', 'Rahul Deshpande', 'Pedro Quintero', 'Martin Lellep', 'Will Junghoon Lee', 'Jason P. Monty', 'Nicholas Hutchins', 'Moritz Linkmann', 'Ivan Marusic', 'Ricardo Vinuesa']",13-May-24,Nature,https://www.nature.com/articles/s41467-024-47954-6
Control optimization of air traffic emissions in a two-variable dynamic model,"Since 1999, every report released by the International Panel on Climate Change has advocated a decrease in the greenhouse gas emissions associated with aviation in order to preserve the current climate. This study used a two variable differential equations model with a non-linear control term to address several aspects of the emissions stabilization issue. By optimizing the control term parameter, several management alternatives can be obtained based on the properties of the phase plane of the model solutions, as identified by a stability analysis. The system can be stabilised around an equilibrium point that maintains the present number of passengers, or maintains the emissions level or is nearest to its present state. Each of these options entails different issues of growth or reduction in the number of passengers and/or the emissions rate, directly obtained from the model results. The last option seems especially novel and promising, since only short-distance flight passengers are severely reduced, while long-distance and international passengers are allowed to growth, and their associated emissions are reduced to below 50 percent of their actual value. Moreover, in a scenario of slow growth in air traffic, these rates could improve, with fewer reductions in the number of short-distance passengers.","['F. A. Buendía-Hernández', 'M. J. OrtizBevia', 'F. J. Alvarez-Garcia', 'A. RuizdeElvira', 'J. M. Salazar']",08-Jan-25,Nature,https://www.nature.com/articles/s41598-024-85086-5
A broad-spectrum gas sensor based on correlated two-dimensional electron gas,"Designing a broad-spectrum gas sensor capable of identifying gas components in complex environments, such as mixed atmospheres or extreme temperatures, is a significant concern for various technologies, including energy, geological science, and planetary exploration. The main challenge lies in finding materials that exhibit high chemical stability and wide working temperature range. Materials that amplify signals through non-chemical methods could open up new sensing avenues. Here, we present the discovery of a broad-spectrum gas sensor utilizing correlated two-dimensional electron gas at a delta-doped LaAlO3/SrTiO3 interface with LaFeO3. Our study reveals that a back-gating on this two-dimensional electron gas can induce a non-volatile metal to insulator transition, which consequently can activate the two-dimensional electron gas to sensitively and quantitatively probe very broad gas species, no matter whether they are polar, non-polar, or inert gases. Different gas species cause resistance change at their sublimation or boiling temperature and a well-defined phase transition angle can quantitatively determine their partial pressures. Such unique correlated two-dimensional electron gas sensor is not affected by gas mixtures and maintains a wide operating temperature range. Furthermore, its readout is a simple measurement of electric resistance change, thus providing a very low-cost and high-efficient broad-spectrum sensing technique.","['Yuhao Hong', 'Long Wei', 'Qinghua Zhang', 'Zhixiong Deng', 'Xiaxia Liao', 'Yangbo Zhou', 'Lei Wang', 'Tongrui Li', 'Junhua Liu', 'Wen Xiao', 'Shilin Hu', 'Lingfei Wang', 'Lin Li', 'Mark Huijben', 'Yulin Gan', 'Kai Chen', 'Gertjan Koster', 'Guus Rijnders', 'Zhaoliang Liao']",21-Dec-23,Nature,https://www.nature.com/articles/s41467-023-44331-7
Modeling and dynamic analysis of split torsion transmission system considering backlash and center distance errors,"The split torque gear transmission holds significant potential for use in helicopter main reducer transmission systems due to its benefits of low noise, high power-to-weight ratio, and high reliability. In this context, a nonlinear dynamic equation was formulated in the present study for a single-input dual-output gear split-torque transmission system, and the system’s dynamic behavior was examined under the effects of center distance error and backlash using the fourth-order Runge-Kutta method. The findings indicate that the impact of center distance error on the system’s dynamics is linear, whereas the effect of backlash is nonlinear. Moreover, the center distance error in the parallel-level stage and the backlash in the split-torsion stage are critical factors influencing the system’s dynamic characteristics. These insights can aid in selecting and allocating design parameters, offering valuable practical applications in engineering.","['Jingwei Ding', 'Guanghu Jin']",07-Jan-25,Nature,https://www.nature.com/articles/s41598-024-81753-9
