Title,blog_url,description
TrustedReviews,http://www.trustedreviews.com/,"TrustedReviews provides expert reviews of the latest consumer electronics, IT and computing products. As well as technology industry news, analysis and product launches."
Recode,https://www.vox.com/recode,"Owned by VOX media, Recode is a technology news website that focuses on the business of Silicon Valley. It provides the latest independent tech news, reviews and analysis."
Komando.com,https://www.komando.com/,"Breaking tech news, digital-lifestyle tips and advice from radio host Kim Komando — from scam alerts to online privacy tips to getting the most out of your tech."
Extreme Tech,http://www.extremetech.com,"ExtremeTech is the internet's top destination for news and analysis of emerging science and technology trends, and important software, hardware, and gadgets."
Technology Personalized,https://techpp.com/,"This is a Tech blog with a focus on personal and consumer technology. The best place for meaningful tech news, analysis, views and reviews."
Stratechery,https://stratechery.com/,"Stratechery provides analysis of the strategy and business side of technology and media, and the impact of technology on society. Weekly Articles are free."
TechNewsWorld,https://www.technewsworld.com/,"Technewsworld provides important technology news, developments and trends with insightful analysis and commentary. Coverage includes hardware, software, networking, wireless computing, and more."
e27,https://e27.co/,"E27 is a platform for news, community, events, talent, funding and more for tech startups. Everything needed to build a billion-dollar company is covered here."
TalkAndroid,https://www.talkandroid.com/,"TalkAndroid was founded in 2008, posting news articles on Android, Chromebook, and Smart Home along with device reviews and how-to guides ever since."
GroovyPost,https://www.groovypost.com/,"The blog covers all things technology including tech news, reviews, privacy editorial, tips, and the best how to galleries on the net."
Tech Commuters,https://www.techcommuters.com/,"Tech Commuters is a leading information technology and data property that is run by tenured technology professionals. 
They are focused on applied information on a range of topics."
Tech Business News,https://www.techbusinessnews.com.au,Tech Business News is a reliable and popular online resource of information about technology and hi-tech news
Techthelead,http://techthelead.com/,"The latest tech news that actually matters, with a focus on world-changing inventions and studies."
Gigaom,https://gigaom.com/blog/,"With over 6.5 million unique visitors each month, Gigoam take on the trends and tools that are shaping the economy of the 21st century, including Cloud, Data, Mobile, Work Futures, and the IoT."
The Loop,http://www.loopinsight.com/,"Filled with latest titbits of news about Apple and the tech market in general, LoopInsight also provides a more in-depth coverage on the topics that matter to you."
TechEngage,https://techengage.com/,"TechEngage is the source of latest technology news, opinions, how-to guides, & reviews covering artificial intelligence, science, computing, gadgets & more."
